sample,exposure,outcome,impact,value
COAST,A_v_log,lnpov_z,direct,0.008085755185353864
COAST,A_v_log,lnpov_z,indirect,-0.3047309122107058
COAST,A_v_log,lnpov_z,total,-0.29664515702535194
COAST,A_v_log,Wbasic_z,direct,-0.010137571504859898
COAST,A_v_log,Wbasic_z,indirect,0.26861901894768214
COAST,A_v_log,Wbasic_z,total,0.25848144744282225
COAST,Ker5_w1,lnpov_z,direct,0.008528928082910826
COAST,Ker5_w1,lnpov_z,indirect,-1.2163646136848687
COAST,Ker5_w1,lnpov_z,total,-1.2078356856019579
COAST,Ker5_w1,Wbasic_z,direct,-0.010801655887919436
COAST,Ker5_w1,Wbasic_z,indirect,1.0359686165165622
COAST,Ker5_w1,Wbasic_z,total,1.0251669606286429
COAST,Ker10_w1,lnpov_z,direct,0.008456801445161565
COAST,Ker10_w1,lnpov_z,indirect,-0.8751678168291533
COAST,Ker10_w1,lnpov_z,total,-0.8667110153839918
COAST,Ker10_w1,Wbasic_z,direct,-0.01073860738458954
COAST,Ker10_w1,Wbasic_z,indirect,0.7637442662865724
COAST,Ker10_w1,Wbasic_z,total,0.7530056589019829
ALL,A_v_log,lnpov_z,direct,0.0027634841774014964
ALL,A_v_log,lnpov_z,indirect,-0.2456411103699524
ALL,A_v_log,lnpov_z,total,-0.2428776261925509
ALL,A_v_log,Wbasic_z,direct,-0.009542840233251866
ALL,A_v_log,Wbasic_z,indirect,0.21258109701880457
ALL,A_v_log,Wbasic_z,total,0.2030382567855527
ALL,Ker5_w1,lnpov_z,direct,0.0028279067008205347
ALL,Ker5_w1,lnpov_z,indirect,-1.0090294882080177
ALL,Ker5_w1,lnpov_z,total,-1.0062015815071972
ALL,Ker5_w1,Wbasic_z,direct,-0.009646307397538925
ALL,Ker5_w1,Wbasic_z,indirect,0.7888181320099763
ALL,Ker5_w1,Wbasic_z,total,0.7791718246124374
ALL,Ker10_w1,lnpov_z,direct,0.0028048046280827726
ALL,Ker10_w1,lnpov_z,indirect,-0.5987789810176927
ALL,Ker10_w1,lnpov_z,total,-0.5959741763896099
ALL,Ker10_w1,Wbasic_z,direct,-0.009670457055203028
ALL,Ker10_w1,Wbasic_z,indirect,0.5096223299385881
ALL,Ker10_w1,Wbasic_z,total,0.4999518728833851
