sample,outcome,term,coef,se
COAST,lnpov_z,A0_5,[0.00253993],0.010503274952503657
COAST,lnpov_z,A5_10,[-0.2383142],0.02220100668804374
COAST,lnpov_z,A10_15,[-0.11577444],0.020203967023512744
COAST,lnpov_z,r308b1d,[-0.04031444],0.018907484214482326
COAST,lnpov_z,r308b1e,[0.01649723],0.016477358630459394
COAST,lnpov_z,r309a,[0.05112795],0.01454741544600826
COAST,lnpov_z,r309b,[-0.08129607],0.036586108588208814
COAST,lnpov_z,r309d,[0.01898168],0.013984702504017234
COAST,lnpov_z,r309e,[-0.03302698],0.012366976197042209
COAST,lnpov_z,r310,[-0.01839132],0.0230732710260195
COAST,lnpov_z,r403a,[0.04427112],0.017877390734449654
COAST,lnpov_z,r403c1,[-0.01752913],0.0025611696801158615
COAST,lnpov_z,r403c2,[0.02643679],0.007050251111365933
COAST,Wbasic_z,A0_5,[-0.00736929],0.006871535640066109
COAST,Wbasic_z,A5_10,[0.16113088],0.014112655198447482
COAST,Wbasic_z,A10_15,[0.08172895],0.012814362612612136
COAST,Wbasic_z,r308b1d,[0.05248327],0.011917866249641187
COAST,Wbasic_z,r308b1e,[-0.02604074],0.010308264588013913
COAST,Wbasic_z,r309a,[-0.0320797],0.00911480115146402
COAST,Wbasic_z,r309b,[0.04066059],0.022907888439390515
COAST,Wbasic_z,r309d,[-0.01008544],0.008778992553404521
COAST,Wbasic_z,r309e,[0.02351554],0.007752775233809124
COAST,Wbasic_z,r310,[-0.02519746],0.014446908394274231
COAST,Wbasic_z,r403a,[0.02932448],0.011204523027456718
COAST,Wbasic_z,r403c1,[0.02273201],0.001604064597064866
COAST,Wbasic_z,r403c2,[-0.04755139],0.004421315676811049
ALL,lnpov_z,A0_5,[-0.00050705],0.004172703951064853
ALL,lnpov_z,A5_10,[-0.16569287],0.014248210157797446
ALL,lnpov_z,A10_15,[-0.087713],0.010564336537808867
ALL,lnpov_z,r308b1d,[-0.03760211],0.008957654631510797
ALL,lnpov_z,r308b1e,[-0.04948218],0.010594266359271475
ALL,lnpov_z,r309a,[0.00406158],0.01054207158257499
ALL,lnpov_z,r309b,[-0.10659181],0.012212669292452108
ALL,lnpov_z,r309d,[0.01356726],0.006068325153977307
ALL,lnpov_z,r309e,[-0.03251774],0.004898951729549868
ALL,lnpov_z,r310,[-0.00624919],0.009322572517830207
ALL,lnpov_z,r403a,[0.01983783],0.008302434196187751
ALL,lnpov_z,r403c1,[-0.00994125],0.0010335853850884642
ALL,lnpov_z,r403c2,[0.03752845],0.0032331161520114983
ALL,Wbasic_z,A0_5,[-0.01216046],0.0030619224509160275
ALL,Wbasic_z,A5_10,[0.095116],0.009676178648460229
ALL,Wbasic_z,A10_15,[0.05048066],0.007173402984016048
ALL,Wbasic_z,r308b1d,[0.02884005],0.005984568352020748
ALL,Wbasic_z,r308b1e,[0.0206884],0.00670634772125499
ALL,Wbasic_z,r309a,[-0.01042369],0.006665010861001632
ALL,Wbasic_z,r309b,[0.15356052],0.007764135171690406
ALL,Wbasic_z,r309d,[-0.011784],0.0038575981380583853
ALL,Wbasic_z,r309e,[0.04222615],0.003108359467361738
ALL,Wbasic_z,r310,[-0.00674408],0.005893812286714065
ALL,Wbasic_z,r403a,[0.01535504],0.005267025917636798
ALL,Wbasic_z,r403c1,[0.0125431],0.0006545323725125011
ALL,Wbasic_z,r403c2,[-0.04723093],0.002053857387057194
