sample,outcome,exposure,target,moran_i,p_value,z_score
COAST,lnpov_z,—,y,0.5993050673361684,0.001,141.88548920038488
COAST,Wbasic_z,—,y,0.8380217527726542,0.001,196.67381835702375
ALL,lnpov_z,—,y,0.6557324709588501,0.001,410.88533726726394
ALL,Wbasic_z,—,y,0.8625218869666627,0.001,520.4441031600777
COAST,lnpov_z,A_v_log,uhat_baseline,0.19888305763105593,0.001,48.56357371507471
COAST,Wbasic_z,A_v_log,uhat_baseline,0.21433759575901626,0.001,49.98205913958273
COAST,lnpov_z,Ker5_w1,uhat_baseline,0.21790427272831311,0.001,52.88486817019814
COAST,Wbasic_z,Ker5_w1,uhat_baseline,0.22769788247422254,0.001,53.16183678104652
COAST,lnpov_z,Ker10_w1,uhat_baseline,0.22100354285361262,0.001,51.45623864564843
COAST,Wbasic_z,Ker10_w1,uhat_baseline,0.2353268957406382,0.001,54.14353822435897
ALL,lnpov_z,A_v_log,uhat_baseline,0.2172438746979169,0.001,133.8805029794455
ALL,Wbasic_z,A_v_log,uhat_baseline,0.2680660334128078,0.001,163.30240911548222
ALL,lnpov_z,Ker5_w1,uhat_baseline,0.2319525501636279,0.001,140.46016150794654
ALL,Wbasic_z,Ker5_w1,uhat_baseline,0.28026564147520017,0.001,174.15065302247712
ALL,lnpov_z,Ker10_w1,uhat_baseline,0.23149692431300625,0.001,136.49845268457136
ALL,Wbasic_z,Ker10_w1,uhat_baseline,0.28110027787293607,0.001,173.5803583193611
